id,real_time,mae,mape
399927,854.0,1881.533203125,220.32005310058594
341579,328.0,1035.0377197265625,315.5602722167969
341584,749.0,1084.83251953125,144.8374481201172
341590,746.0,902.2235107421875,120.94148254394531
391405,588.0,1929.212646484375,328.0973815917969
391411,1179.0,1388.880859375,117.80159759521484
341607,339.0,953.0833740234375,281.1455383300781
341616,1211.0,1553.84521484375,128.3109130859375
341625,1210.0,433.50872802734375,35.82716751098633
366353,1042.0,1242.7197265625,119.26293182373047
341647,686.0,1149.5238037109375,167.56906127929688
391445,1159.0,1553.548095703125,134.0421142578125
341663,297.0,925.70458984375,311.6850280761719
399996,1183.0,1522.6044921875,128.70706176757812
391469,438.0,1201.2127685546875,274.2494812011719
391483,168.0,1197.337158203125,712.70068359375
391498,406.0,564.4138793945312,139.01820373535156
366398,259.0,1279.62646484375,494.06427001953125
366408,958.0,525.35009765625,54.83821487426758
391541,738.0,1912.634765625,259.1645812988281
391556,909.0,516.879638671875,56.86244201660156
366441,1218.0,349.37054443359375,28.68395233154297
391575,1033.0,303.41015625,29.371747970581055
391584,476.0,1997.99365234375,419.7465515136719
366480,920.0,1636.71533203125,177.90383911132812
391605,712.0,989.030029296875,138.90870666503906
391617,581.0,1627.51025390625,280.12225341796875
391631,349.0,1712.39111328125,490.6564636230469
366521,829.0,1252.95556640625,151.14059448242188
391651,719.0,935.270263671875,130.07931518554688
366547,1411.0,641.58935546875,45.470542907714844
366564,850.0,792.368408203125,93.21981048583984
366585,610.0,657.8411865234375,107.84281158447266
366606,821.0,1005.857177734375,122.51609802246094
366632,371.0,943.6614990234375,254.356201171875
366655,100.0,1232.011474609375,1232.011474609375
429633,1019.0,1502.209228515625,147.41993713378906
414819,1769.0,235.45947265625,13.310315132141113
400004,427.0,1840.015380859375,430.91693115234375
433343,331.0,1072.5335693359375,324.0282897949219
433345,730.0,1668.4619140625,228.55641174316406
433346,1423.0,966.886962890625,67.94708251953125
407429,810.0,1981.6064453125,244.6427764892578
400014,775.0,1796.556640625,231.8137664794922
414833,721.0,1870.01708984375,259.3643798828125
418579,1814.0,381.909423828125,21.05344009399414
411142,842.0,1705.31005859375,202.5308837890625
400023,258.0,962.1470947265625,372.92523193359375
440767,1090.0,1786.45751953125,163.8951873779297
403730,992.0,1062.212646484375,107.077880859375
403732,715.0,1174.2432861328125,164.22982788085938
433360,977.0,266.8037109375,27.308467864990234
440776,1829.0,1493.426513671875,81.65262603759766
414848,730.0,1685.34716796875,230.86947631835938
425966,1016.0,1791.70263671875,176.34869384765625
418600,89.0,1372.436279296875,1542.063232421875
418602,511.0,1839.908203125,360.060302734375
407473,494.0,2418.4716796875,489.5691833496094
407475,965.0,2147.76708984375,222.5665283203125
411157,869.0,1666.1044921875,191.7266387939453
437078,422.0,1636.6103515625,387.8223571777344
400054,157.0,778.7091064453125,495.9930419921875
403756,462.0,1363.6435546875,295.16094970703125
411165,1112.0,602.4122314453125,54.173763275146484
440802,321.0,805.0333251953125,250.7891845703125
